,season,abbreviation,playoffs,w,l,pw,pl,mov,srs,o_rtg,x3p_ar,e_fg_percent,tov_percent,orb_percent,ft_fga
71,2022,GSW,True,53.0,29.0,55.0,27.0,5.54,5.52,112.5,0.456,0.552,13.5,22.8,0.181
72,2022,HOU,False,20.0,62.0,21.0,61.0,-8.48,-8.26,108.4,0.448,0.534,14.5,21.7,0.202
73,2022,IND,False,25.0,57.0,32.0,50.0,-3.48,-3.26,112.6,0.395,0.531,12.7,25.5,0.184
74,2022,LAC,False,42.0,40.0,41.0,41.0,0.02,0.09,110.1,0.391,0.531,12.5,20.6,0.178
75,2022,LAL,False,33.0,49.0,33.0,49.0,-3.05,-3.08,110.3,0.388,0.537,12.8,21.1,0.19
76,2022,MEM,True,56.0,26.0,55.0,27.0,5.68,5.37,114.6,0.346,0.522,11.2,30.0,0.18
77,2022,MIA,True,53.0,29.0,53.0,29.0,4.45,4.23,113.7,0.422,0.547,13.4,23.5,0.204
78,2022,MIL,True,51.0,31.0,49.0,33.0,3.35,3.22,115.1,0.43,0.546,11.9,23.0,0.199
79,2022,MIN,True,46.0,36.0,48.0,34.0,2.63,2.53,114.3,0.454,0.539,12.4,24.4,0.198
80,2022,NOP,True,36.0,46.0,38.0,44.0,-0.99,-0.84,112.0,0.365,0.517,12.5,26.9,0.208
81,2022,NYK,False,37.0,45.0,41.0,41.0,-0.12,-0.01,110.4,0.428,0.513,12.0,25.1,0.208
82,2022,OKC,False,24.0,58.0,21.0,61.0,-8.1,-7.9,104.6,0.419,0.497,12.5,21.8,0.169
83,2022,ORL,False,22.0,60.0,21.0,61.0,-8.0,-7.67,104.5,0.417,0.503,13.0,19.8,0.175
84,2022,PHI,True,51.0,31.0,48.0,34.0,2.61,2.57,113.5,0.376,0.534,11.6,20.1,0.232
85,2022,PHO,True,64.0,18.0,59.0,23.0,7.5,6.94,114.8,0.354,0.549,11.6,22.3,0.176
86,2022,POR,False,27.0,55.0,20.0,62.0,-8.88,-8.55,107.8,0.422,0.515,13.0,22.9,0.188
87,2022,SAC,False,30.0,52.0,28.0,54.0,-5.46,-5.26,109.9,0.377,0.525,12.5,21.3,0.203
88,2022,SAS,False,34.0,48.0,41.0,41.0,0.12,0.02,112.4,0.345,0.527,11.1,23.7,0.166
89,2022,TOR,True,48.0,34.0,47.0,35.0,2.29,2.38,112.9,0.375,0.51,11.0,28.4,0.177
90,2022,UTA,True,49.0,33.0,56.0,26.0,6.04,5.67,116.7,0.468,0.555,12.7,25.4,0.208
91,2022,WAS,False,35.0,47.0,32.0,50.0,-3.38,-3.23,111.1,0.356,0.532,12.1,20.9,0.197
93,2021,ATL,True,41.0,31.0,41.0,31.0,2.32,2.14,115.7,0.382,0.539,11.9,24.4,0.226
94,2021,BOS,True,36.0,36.0,39.0,33.0,1.46,1.32,114.0,0.409,0.543,12.5,24.3,0.181
95,2021,BRK,True,48.0,24.0,46.0,26.0,4.5,4.24,118.3,0.413,0.575,12.2,21.4,0.208
96,2021,CHI,False,31.0,41.0,34.0,38.0,-0.89,-0.94,111.1,0.383,0.547,13.6,22.3,0.156
97,2021,CHO,False,33.0,39.0,32.0,40.0,-1.93,-1.94,110.9,0.422,0.532,13.3,23.5,0.181
98,2021,CLE,False,22.0,50.0,18.0,54.0,-8.44,-8.19,105.8,0.347,0.508,13.9,23.6,0.194
99,2021,DAL,True,42.0,30.0,41.0,31.0,2.26,2.26,115.4,0.436,0.55,11.1,21.1,0.189
100,2021,DEN,True,47.0,25.0,47.0,25.0,4.93,4.82,117.1,0.383,0.557,12.1,24.7,0.176
101,2021,DET,False,20.0,52.0,26.0,46.0,-4.47,-4.38,108.0,0.385,0.519,13.5,21.9,0.207
102,2021,GSW,False,39.0,33.0,38.0,34.0,1.06,1.1,111.1,0.439,0.551,13.3,17.9,0.188
103,2021,HOU,False,17.0,55.0,20.0,52.0,-7.9,-7.5,107.1,0.459,0.521,13.0,19.8,0.187
104,2021,IND,False,34.0,38.0,36.0,36.0,-0.04,-0.13,112.4,0.372,0.542,11.9,20.2,0.18
105,2021,LAC,True,47.0,25.0,49.0,23.0,6.18,6.02,117.6,0.4,0.564,12.2,22.7,0.186
106,2021,LAL,True,42.0,30.0,42.0,30.0,2.79,2.77,109.9,0.363,0.536,13.6,22.5,0.2
107,2021,MEM,True,38.0,34.0,38.0,34.0,1.03,1.07,112.0,0.342,0.528,11.6,24.2,0.179
108,2021,MIA,True,40.0,32.0,36.0,36.0,0.03,-0.06,111.2,0.432,0.546,13.1,19.4,0.199
109,2021,MIL,True,46.0,26.0,48.0,24.0,5.89,5.57,117.2,0.404,0.566,12.0,23.3,0.177
110,2021,MIN,False,23.0,49.0,24.0,48.0,-5.56,-5.25,109.5,0.413,0.52,12.4,22.7,0.193
111,2021,NOP,False,31.0,41.0,35.0,37.0,-0.29,-0.2,113.5,0.342,0.537,12.7,26.3,0.214
112,2021,NYK,True,41.0,31.0,41.0,31.0,2.31,2.13,110.6,0.347,0.524,11.9,21.9,0.19
113,2021,OKC,False,22.0,50.0,15.0,57.0,-10.64,-10.13,103.5,0.399,0.509,14.2,21.2,0.176
114,2021,ORL,False,21.0,51.0,17.0,55.0,-9.31,-9.02,105.1,0.356,0.49,11.5,21.6,0.186
115,2021,PHI,True,49.0,23.0,48.0,24.0,5.58,5.28,113.2,0.347,0.541,12.8,23.2,0.225
